"Techstack","Links"
"React, Redux, Node.js","https://brittanychiang.com/"
"Angular, RxJS, .NET","https://rxresu.me/"
"Vue.js, Vuetify, Firebase","https://sarahdayan.dev/"
"Python, Django, Postgres","https://writethedocs.org/"
"Java, Spring Boot, Hibernate","https://martinfowler.com/"
"Flutter, Firebase, Stripe","https://timothymiller.dev/"
"WordPress, Elementor, PHP","https://kayleigh.tech/"
"Magento, Laravel, MySQL","https://ahmedalsamman.com/"
"React Native, TypeScript, Firebase","https://www.darrenmothersele.com/"
"iOS, Swift, CoreData","https://federicoterzi.com/"
"Android, Java, Kotlin","https://anilmaurya.net/"
"Kotlin, Compose, Firebase","https://nikhilkini.com/"
"Android TV, Java, ExoPlayer","https://mindorks.com/"
"iOS, SwiftUI, ARKit","https://maximeheckel.com/"
"Cross-platform, Flutter, Azure","https://adamwathan.me/"
"Backend, Go, Kubernetes","https://bilalquadri.me/"
"Frontend, TypeScript, Next.js","https://leerob.io/"
"Full-stack, MERN, GraphQL","https://theodorestarks.dev/"
"Machine Learning, Python, PyTorch","https://sebastianraschka.com/"
"DevOps, AWS, Terraform","https://www.hashicorp.com/"
